"Work context","Project","Contribution","Public summary","Summary provenance","Field-level provenance","Indexed concepts","Responsibility claims","Hat links","Evidence (declared role)","Editorial/display fields","Retrieval fields","Review status","User correction","Proposed capability events"
"unmodelled","Mars Delight — Kung Fu","Media management systems","Organisation and management of media within a creative production workflow.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","media-production-system · operate-activity · product-definition","","Media Archiving Engineer · Media Workflow Designer","Mars Delight “Kung Fu” (Choreographer/Actor: Supple Nam) [video]","media-production-distribution:primary · system-product-definition:secondary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Metroplist","Metroplist system development","A data-driven exploration platform designed to transform the complexity of modern information into understandable, visual and meaningful intelligence. Its data and interpretation system is designed to be experienced in multiple ways, including AR and VR.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","engineer-role · identity-systems · operate-activity · software-engineering · web-application","","Concept Engineer · Data Modeler · Visual Language Engineer","Metroplist project evidence [placeholder] · Metroplist — design-language study 01 [process] · Metroplist — design-language study 02 [process] · Metroplist — design-language study 03 [process] · Metroplist — design-language study 04 [process] · Metroplist — design-language study 05 [process] · Metroplist — website and digital experience [cover]","brand-experience-systems:secondary · project featured · software-web-engineering:secondary · system-product-definition:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","MiCKz","Digital product assets","Creation and preparation of product-facing visual assets for digital presentation and future commerce use.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","identity-systems","","","MiCKz — website and digital experience [cover]","brand-experience-systems:secondary · media-production-distribution:primary · project featured","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","MiCKz","Identity development","Development of the core MiCKz identity and a mark capable of supporting a wider product family.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","identity-systems","","Brand Systems Engineer · Logo Systems Designer","MiCKz identity development sequence [placeholder] · MiCKz logo 01 — Ocean Blue [process] · MiCKz logo 02 — green and yellow drinks identity [process] · MiCKz logo 03 — Jungle Mix [process] · MiCKz logo 04 — tea identity [process] · MiCKz logo 05 — core identity [process]","brand-experience-systems:primary · project featured","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","MiCKz","Food and drinks product system","A related visual framework that allows food and drinks products to use distinct styling while remaining recognisably MiCKz.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","identity-systems · operate-activity","","Brand Systems Engineer · Visual Language Engineer","MiCKz food and drinks applications [placeholder] · MiCKz product 01 — Pickle MiCKz [application] · MiCKz product 02 — Hot MiCKz sauce [application] · MiCKz product 03 — Bissy MiCKz tea [application] · MiCKz product 04 — Coffee MiCKz tea [application] · MiCKz product 05 — Hibiscus MiCKz drink [application] · MiCKz product 06 — Sorrel MiCKz tea [application]","brand-experience-systems:secondary · media-production-distribution:secondary · project featured · system-product-definition:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","MikeGold.co.uk","MikeGold.co.uk system development","A professional operating system mapping multidisciplinary engineering capabilities to services, projects and applied evidence.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","engineer-role · identity-systems · operate-activity · software-engineering · web-application","","Data Modeler · Systems Engineer · Web Design Engineer","MikeGold.co.uk project evidence [placeholder] · One Hat activates its capability profile [interface] · Three Hats form a service configuration [interface] · Two Hats recalculate the combined profile [interface] · Weighted capability polygon [interface]","brand-experience-systems:secondary · project featured · software-web-engineering:secondary · system-product-definition:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Multiplied Intelligence","Multiplied Intelligence system development","Website design and development for the Multiplied Intelligence professional platform, with structured content and multi-domain cloud delivery.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","cloud-operations · configure-activity · design-activity · operate-activity · product-definition · software-engineering · web-application","","Data Modeler · Deployment Engineer · Web Design Engineer","Multiplied Intelligence project evidence [placeholder] · Multiplied Intelligence website [cover]","infrastructure-operations:secondary · software-web-engineering:primary · system-product-definition:secondary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Musical Intelligence","Music content architecture","Structuring the platform's artists, releases and related presentation content as reusable application data.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","engineer-role · music-domain · operate-activity · software-engineering · web-application","","Application Engineer","Musical Intelligence content model [placeholder]","project featured · software-web-engineering:secondary · system-product-definition:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Musical Intelligence","Cloud delivery and release configuration","Configuration and troubleshooting of the build and cloud-delivery path used to publish the current web application.","unknown-unreviewed","evidence roles: not recorded · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","build-activity · cloud-operations · configure-activity · software-engineering · transition-to-live · web-application","","Deployment Engineer","","infrastructure-operations:primary · project featured","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Musical Intelligence","Musical Intelligence identity restoration","Recreated my own identity from the surviving original as the historical reference. The restoration preserves its curved framing, lowercase wordmark and superscript-three language while rebuilding typography, spacing, proportion, alignment and colour for clean contemporary and scalable digital use.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","identity-systems · music-domain · scalability","","","Reconstructed red identity [process] · Reconstruction geometry refinement [process] · Restored identity — alternate proportion [identity] · Restored identity — black and red system [identity] · Restored identity — compact application [identity] · Restored identity — primary lock-up [identity] · The original Musical Intelligence identity [process]","brand-experience-systems:primary · project featured","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Musical Intelligence","Responsive web experience","Design and implementation of a responsive web surface for presenting the platform and its music content.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","design-activity · identity-systems · music-domain · software-engineering · web-application","","Application Engineer · Web Design Engineer","Musical Intelligence web experience [placeholder] · Musical Intelligence — interface study 01 [interface] · Musical Intelligence — website and digital experience [cover]","brand-experience-systems:secondary · project featured · software-web-engineering:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Ourgani","Ourgani identity design","Logo development for Ourgani, using an organic yin-yang construction to express balance, exchange and the relationship between complementary natural systems.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","design-activity · identity-systems · logo-artwork","","","Ourgani — organic yin-yang identity [identity]","brand-experience-systems:primary · project featured","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Ourgani","Ourgani system development","A service identity and live web presence, establishing its visual identity and delivering its public digital experience.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","cloud-operations · configure-activity · identity-systems · operational-state · software-engineering · web-application","","Brand Systems Engineer · Deployment Engineer · Web Design Engineer","Ourgani project evidence [placeholder] · Ourgani — website and digital experience [cover]","brand-experience-systems:secondary · infrastructure-operations:secondary · project featured · software-web-engineering:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Philadelphia Eagles — NFL Wembley","Broadcast-audio delivery","Live audio delivery from the pitch-side system into the Eagles' broadcast channel and its audience-facing output.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: confirmed claim · semantic concepts: derived/inferred","broadcast-audio-delivery · live-broadcast · live-sport · media-distribution · programme-audio-feed · reliability-engineering · signal-flow-design · systems-integration","Routed live programme audio from the pitch-side system into the Eagles broadcast channel.","Media Distribution Engineer","Philadelphia Eagles at Wembley — broadcast coverage [video] · Philadelphia Eagles at Wembley — game coverage [video]","media-production-distribution:primary","confirmed-claims semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Philadelphia Eagles — NFL Wembley","Field communications and resilient signal systems","Pitch-side communications and resilient physical signal paths supporting live field operations.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: confirmed claim · semantic concepts: derived/inferred","communications-networking · fallback-signal-path · field-communications · live-field-operations · live-sport · primary-signal-path · reliability-engineering · signal-flow-design · signal-path-resilience · systems-integration","Designed and operated resilient pitch-side communications and physical signal paths for live field operations.","Network-Aware Engineer · Reliability Engineer · Systems Engineer","Philadelphia Eagles at Wembley — broadcast coverage [video] · Philadelphia Eagles at Wembley — game coverage [video]","physical-systems-engineering:primary","confirmed-claims semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","PlayStation — PS5 Sound Tour","Audio-system implementation","Physical audio-system preparation and implementation for the location-based presentation.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","audio-medium · physical-audio-systems","","Audio Engineer","Početni zvuk PlayStation 5 konzole | Glazbena turneja po Hrvatskoj | PS5 [video]","physical-systems-engineering:primary","derived semantic signature","pending-confirmation","The PlayStation work was studio and controlled-production work involving voice-over recording, recording engineering, sound engineering, mixing, mastering, sound design, quality control and format preparation for commercial release promotion. It was not live sound, live-event operation or physical installation.","none — assessment not yet modelled"
"unmodelled","PlayStation — PS5 Sound Tour","Sound design","Sound-design contribution for a location-based musical presentation of the PlayStation 5 startup sound.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","audio-medium · audio-production · design-activity · music-domain","","Experiential Engineer · Sound Designer","Početni zvuk PlayStation 5 konzole | Glazbena turneja po Hrvatskoj | PS5 [video]","media-production-distribution:primary","derived semantic signature","pending-confirmation","The PlayStation work was studio and controlled-production work involving voice-over recording, recording engineering, sound engineering, mixing, mastering, sound design, quality control and format preparation for commercial release promotion. It was not live sound, live-event operation or physical installation.","none — assessment not yet modelled"
"unmodelled","ProtoSynthesis","Multi-format web and archive development","Front- and back-end development across the ProtoSynthesis research, media and library surfaces. A shared visual language is translated into different content formats while archive entries, navigation and structured knowledge remain connected underneath.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","identity-systems · software-engineering · web-application","","","ProtoSynthesis Library — archive navigation [interface] · ProtoSynthesis Library — living knowledge archive [interface] · ProtoSynthesis Library — structured archive entry [interface] · ProtoSynthesis Media — documentary platform [interface] · ProtoSynthesis Media — long-form content page [interface] · ProtoSynthesis — source architecture interface [cover]","brand-experience-systems:secondary · media-production-distribution:secondary · project featured · software-web-engineering:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","ProtoSynthesis","ProtoSynthesis system development","Architecture and development of a connected research ecosystem spanning inquiry, documentary media and long-form knowledge.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","engineer-role · operate-activity · software-engineering · web-application","","Media Engineer · Narrative Systems Thinker · Systems Engineer","ProtoSynthesis project evidence [placeholder] · ProtoSynthesis — identity development 01 [identity]","media-production-distribution:secondary · project featured · software-web-engineering:secondary · system-product-definition:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Rockett Home Rentals — Company Film","Camera operation and workflow","Camera operation within a structured company-video production workflow.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","media-production-system · operate-activity","","Media Engineer · Media Workflow Designer","Rockett Home Rentals Company Video [video]","media-production-distribution:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","SaveOurs","Identity language and coded mark development","A fifteen-year identity evolution: revisiting the original commission, developing the SOS / SaveOurS abbreviation as Morse code, then embedding a second barcode-like machine-readable challenge inside the mark.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","identity-systems · operate-activity · product-definition · software-engineering","","","Final SaveOurs coded identity [identity] · Original SaveOurs identity [process] · Original identity revisited [process] · SOS coded-language mark — red field [process] · SOS coded-language mark — transparent [process] · Second-generation stacked identity — blue [process] · Second-generation stacked identity — terracotta [process]","brand-experience-systems:primary · project featured · system-product-definition:secondary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","SaveOurs","SaveOurs archive and personal-save interfaces","Interface and platform development spanning the public SaveOurs experience, individual SaveSites and the signed-in My Saves view. The screenshots support discussion of distinct user journeys and the archive system behind them, rather than acting as decoration for one project page.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","identity-systems · operate-activity · product-definition · software-engineering · web-application","","","My Saves — personal cabinet [interface] · SaveOurs — website and digital experience [cover] · SaveSite — authored collection view [interface]","brand-experience-systems:secondary · project featured · software-web-engineering:primary · system-product-definition:secondary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","SaveOurs","SaveOurs system development","Product and platform architecture for a living museum built around what people create, collect and remember.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","build-activity · identity-systems · operate-activity","","Data Modeler · Symbol Systems Designer · Systems Engineer","SaveOurs project evidence [placeholder]","brand-experience-systems:secondary · media-production-distribution:secondary · project featured · system-product-definition:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Stanhope-Seta — Flash Point Testing","Scientific equipment and test systems","Test-system work supporting repeatable small-scale flash-point measurement.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","","","Process Lifecycle Engineer · Repeatability Engineer · Systems Engineer","ASTM D3828 Setaflash Small Scale Flash Point Testing by Seta Series 3 [video]","physical-systems-engineering:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","The Frisbys — You Are","Camera-system setup","Physical preparation, configuration and signal setup for the multicamera production environment.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","configure-activity","","Live Systems Designer","The Frisbys - You Are [video]","physical-systems-engineering:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","The Frisbys — You Are","Multicamera operation","Coordination and operation of multiple camera sources within a music-production workflow.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","media-production-system · music-domain · operate-activity","","Media Engineer · Media Workflow Designer","The Frisbys - You Are [video]","media-production-distribution:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","The Visionary Guide","The Visionary Guide system development","An application product in development around product definition, user experience and structured content.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","engineer-role · operate-activity · product-definition · software-engineering · web-application","","Concept Engineer · Data Modeler · Web Design Engineer","The Visionary Guide project evidence [placeholder] · The Visionary Guide — website and digital experience [cover]","software-web-engineering:secondary · system-product-definition:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","VendFM","VendFM system development","Product and system architecture for a multi-format media vending platform spanning identities, services and interface contexts.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","engineer-role · operate-activity · software-engineering · web-application","","Data Modeler · Interactive Media Engineer · Systems Engineer","VendFM project evidence [placeholder] · VendFM — final identity direction [identity] · VendFM — identity concept mock-up [identity] · VendFM — website and digital experience [cover]","media-production-distribution:secondary · project featured · software-web-engineering:secondary · system-product-definition:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","VIISIIOIIV","VIISIIOIIV system development","A reserved brand concept with early naming and identity exploration.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","engineer-role · identity-systems · software-engineering · web-application","","Identity Architect · Visual Language Engineer","VIISIIOIIV project evidence [placeholder] · VIISIIOIIV — identity development 01 [identity] · VIISIIOIIV — interface study 01 [interface] · VIISIIOIIV — website and digital experience [cover]","brand-experience-systems:primary · software-web-engineering:secondary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Waffll","Design development","Brand and service architecture connecting radio, publishing, production, food content and commercial surfaces.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","design-activity · identity-systems · media-distribution · operate-activity · product-definition","","Brand Systems Engineer · Concept Engineer · Media Engineer","Waffll project evidence [placeholder] · Waffll — identity development 01 [identity] · Waffll — identity development 02 [identity] · Waffll — website and digital experience [cover]","brand-experience-systems:secondary · media-production-distribution:secondary · system-product-definition:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","WIBC","WIBC system development","A company identity and digital-presence project covering brand direction and corporate content structure.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","engineer-role · identity-systems · software-engineering · web-application","","Brand Systems Engineer · Logo Systems Designer · Web Design Engineer","WIBC project evidence [placeholder] · WIBC — identity development 01 [identity] · WIBC — website and digital experience [cover]","brand-experience-systems:primary · software-web-engineering:secondary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","WrappedFM","WrappedFM identity development","Logo and visual-identity development for the WrappedFM online radio platform, including dark and pale-gold applications of the primary mark.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","identity-systems · logo-artwork","","","WrappedFM primary mark — dark application [identity] · WrappedFM primary mark — pale-gold application [identity]","brand-experience-systems:primary · project featured","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","WrappedFM","WrappedFM system development","Identity and web-application development for an online radio station designed around live metadata and future platform integration.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","engineer-role · identity-systems · operate-activity · operational-state · software-engineering · web-application","","Deployment Engineer · Media Engineer · Web Design Engineer","WrappedFM project evidence [placeholder] · WrappedFM — interface study 01 [interface] · WrappedFM — website and digital experience [cover]","media-production-distribution:secondary · project featured · software-web-engineering:secondary · system-product-definition:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Zenthapy","Zenthapy identity design","Development of the primary Zenthapy mark and its visual direction for a wellness-service concept.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","design-activity · identity-systems","","","Zenthapy — primary balance mark [identity]","brand-experience-systems:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
"unmodelled","Zenthapy","Zenthapy system development","A wellness-service concept awaiting further product definition and implementation.","unknown-unreviewed","evidence roles: authored evidence metadata · public summary: unknown-unreviewed · public title: unknown-unreviewed · responsibility: unknown · semantic concepts: derived/inferred","identity-systems · operate-activity · product-definition","","Brand Systems Engineer · Concept Engineer","Zenthapy project evidence [placeholder]","brand-experience-systems:secondary · system-product-definition:primary","derived semantic signature","review-required","","none — assessment not yet modelled"
